APLICACAO;DISTRIBUICAO;TEMPOEXECUCAO;VALOR;CICLO;NUMEROSDERESTART
JPASSWORD;PSEUD;99795;10.29;25;22
JPASSWORD;PSEUD;99591;10.31;26;23
JPASSWORD;PSEUD;99670;10.31;27;22
JPASSWORD;PSEUD;99841;10.29;28;22
JPASSWORD;PSEUD;99794;10.33;29;22
JPASSWORD;SOBOL;97704;9.49;0;17
JMETAL;PSEUD;1510458;12.33;0;10
JMETAL;PSEUD;1493314;12.38;1;10
JMETAL;PSEUD;1493937;12.38;2;10
JMETAL;PSEUD;1495514;12.35;3;10
JMETAL;PSEUD;1494873;12.47;4;10
JMETAL;PSEUD;1495295;12.35;5;10
JMETAL;PSEUD;1495045;12.39;6;10
JMETAL;PSEUD;1495358;12.39;7;10
JMETAL;PSEUD;1497541;12.42;8;10
JMETAL;PSEUD;1494359;12.39;9;10
JMETAL;PSEUD;1495248;12.38;10;9
JMETAL;PSEUD;1496137;12.38;11;10
JMETAL;PSEUD;1494343;12.42;12;10
JMETAL;PSEUD;1494609;12.37;13;10
JMETAL;PSEUD;1493204;12.45;14;10
JMETAL;PSEUD;1494374;12.40;15;10
JMETAL;PSEUD;1493080;12.41;16;10
JMETAL;PSEUD;1495669;12.46;17;9
JMETAL;PSEUD;1496106;12.37;18;10
JMETAL;PSEUD;1494484;12.50;19;10
JMETAL;PSEUD;1494249;12.42;20;10
JMETAL;PSEUD;1494562;12.39;21;11
JMETAL;PSEUD;1491379;12.42;22;10
JMETAL;PSEUD;1493657;12.35;23;10
JMETAL;PSEUD;1493454;12.42;24;10
JMETAL;PSEUD;1493860;12.42;25;10
JMETAL;PSEUD;1493407;12.37;26;9
JMETAL;PSEUD;1493688;12.36;27;10
JMETAL;PSEUD;1493282;12.39;28;10
JMETAL;PSEUD;1491192;12.38;29;10
JMETAL;SOBOL;1462597;8.82;0;8
JAVACC;PSEUD;640444;10.46;0;15
JAVACC;PSEUD;635858;10.50;1;15
JAVACC;PSEUD;639852;10.42;2;15
JAVACC;PSEUD;639493;10.46;3;15
JAVACC;PSEUD;639056;10.51;4;15
JAVACC;PSEUD;638136;10.54;5;15
JAVACC;PSEUD;640163;10.44;6;15
JAVACC;PSEUD;640523;10.46;7;15
JAVACC;PSEUD;643606;10.45;8;15
JAVACC;PSEUD;641505;10.53;9;16
JAVACC;PSEUD;641022;10.59;10;15
JAVACC;PSEUD;640491;10.43;11;15
JAVACC;PSEUD;640757;10.52;12;15
JAVACC;PSEUD;639820;10.52;13;15
JAVACC;PSEUD;641318;10.48;14;16
JAVACC;PSEUD;641490;10.46;15;15
JAVACC;PSEUD;639727;10.49;16;15
JAVACC;PSEUD;641209;10.51;17;15
JAVACC;PSEUD;640788;10.55;18;15
JAVACC;PSEUD;638993;10.43;19;15
JAVACC;PSEUD;639961;10.51;20;15
JAVACC;PSEUD;641069;10.51;21;15
JAVACC;PSEUD;640647;10.53;22;15
JAVACC;PSEUD;640024;10.49;23;14
JAVACC;PSEUD;641052;10.46;24;15
JAVACC;PSEUD;639727;10.56;25;15
JAVACC;PSEUD;639805;10.53;26;14
JAVACC;PSEUD;640429;10.46;27;15
JAVACC;PSEUD;641381;10.51;28;16
JAVACC;PSEUD;640866;10.45;29;15
JAVACC;SOBOL;625452;8.82;0;12
JODAMONEY;PSEUD;842;2.75;0;135
JODAMONEY;PSEUD;843;2.75;1;134
JODAMONEY;PSEUD;858;2.72;2;134
JODAMONEY;PSEUD;844;2.75;3;133
JODAMONEY;PSEUD;842;2.75;4;131
JODAMONEY;PSEUD;859;2.75;5;132
JODAMONEY;PSEUD;827;2.73;6;135
JODAMONEY;PSEUD;843;2.73;7;133
JODAMONEY;PSEUD;843;2.75;8;133
JODAMONEY;PSEUD;828;2.72;9;134
JODAMONEY;PSEUD;842;2.75;10;132
JODAMONEY;PSEUD;843;2.75;11;132
JODAMONEY;PSEUD;827;2.75;12;134
JODAMONEY;PSEUD;828;2.73;13;135
JODAMONEY;PSEUD;827;2.72;14;129
JODAMONEY;PSEUD;828;2.72;15;130
JODAMONEY;PSEUD;826;2.73;16;135
JODAMONEY;PSEUD;828;2.72;17;137
JODAMONEY;PSEUD;827;2.75;18;131
JODAMONEY;PSEUD;828;2.75;19;134
JODAMONEY;PSEUD;842;2.75;20;134
JODAMONEY;PSEUD;844;2.75;21;133
JODAMONEY;PSEUD;826;2.75;22;133
JODAMONEY;PSEUD;844;2.73;23;132
JODAMONEY;PSEUD;827;2.75;24;135
JODAMONEY;PSEUD;829;2.75;25;134
JODAMONEY;PSEUD;827;2.75;26;132
JODAMONEY;PSEUD;828;2.75;27;135
JODAMONEY;PSEUD;842;2.75;28;138
JODAMONEY;PSEUD;844;2.72;29;136
JODAMONEY;SOBOL;844;2.73;0;132
